County,Month,Year,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Wind,Sea Level Pressure
kisumu,April,2010,30.0°C (86.0°F),26.0°C (78.8°F),20.0°C (68.0°F),21.0°C (69.8°F),64.9mm | 2.56in,13.0kmh | 8.08mph,64.9mb
kisumu,May,2010,29.0°C (84.2°F),24.0°C (75.2°F),20.0°C (68.0°F),21.0°C (69.8°F),103.3mm | 4.07in,13.0kmh | 8.08mph,103.3mb
kisumu,June,2010,28.0°C (82.4°F),23.0°C (73.4°F),18.0°C (64.4°F),19.0°C (66.2°F),50.0mm | 1.97in,11.0kmh | 6.84mph,50.0mb
kisumu,July,2010,28.0°C (82.4°F),23.0°C (73.4°F),18.0°C (64.4°F),18.0°C (64.4°F),61.1mm | 2.41in,12.0kmh | 7.46mph,61.1mb
kisumu,August,2010,28.0°C (82.4°F),24.0°C (75.2°F),18.0°C (64.4°F),18.0°C (64.4°F),60.7mm | 2.39in,12.0kmh | 7.46mph,60.7mb
kisumu,September,2010,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),19.0°C (66.2°F),45.2mm | 1.78in,14.0kmh | 8.7mph,45.2mb
kisumu,October,2010,30.0°C (86.0°F),25.0°C (77.0°F),19.0°C (66.2°F),19.0°C (66.2°F),33.9mm | 1.33in,13.0kmh | 8.08mph,33.9mb
kisumu,November,2010,30.0°C (86.0°F),24.0°C (75.2°F),18.0°C (64.4°F),19.0°C (66.2°F),25.5mm | 1.0in,15.0kmh | 9.32mph,25.5mb
kisumu,December,2010,32.0°C (89.6°F),25.0°C (77.0°F),17.0°C (62.6°F),17.0°C (62.6°F),11.5mm | 0.45in,18.0kmh | 11.18mph,11.5mb
kisumu,January,2011,35.0°C (95.0°F),26.0°C (78.8°F),18.0°C (64.4°F),16.0°C (60.8°F),11.5mm | 0.45in,18.0kmh | 11.18mph,11.5mb
kisumu,February,2011,36.0°C (96.8°F),28.0°C (82.4°F),18.0°C (64.4°F),17.0°C (62.6°F),18.7mm | 0.74in,19.0kmh | 11.81mph,18.7mb
kisumu,March,2011,38.0°C (100.4°F),28.0°C (82.4°F),18.0°C (64.4°F),18.0°C (64.4°F),44.3mm | 1.74in,18.0kmh | 11.18mph,44.3mb
kisumu,April,2011,34.0°C (93.2°F),26.0°C (78.8°F),17.0°C (62.6°F),19.0°C (66.2°F),34.4mm | 1.35in,15.0kmh | 9.32mph,34.4mb
kisumu,May,2011,28.0°C (82.4°F),24.0°C (75.2°F),19.0°C (66.2°F),20.0°C (68.0°F),97.3mm | 3.83in,12.0kmh | 7.46mph,97.3mb
kisumu,June,2011,27.0°C (80.6°F),23.0°C (73.4°F),18.0°C (64.4°F),19.0°C (66.2°F),34.3mm | 1.35in,11.0kmh | 6.84mph,34.3mb
kisumu,July,2011,27.0°C (80.6°F),23.0°C (73.4°F),17.0°C (62.6°F),19.0°C (66.2°F),24.4mm | 0.96in,11.0kmh | 6.84mph,24.4mb
kisumu,August,2011,28.0°C (82.4°F),23.0°C (73.4°F),18.0°C (64.4°F),19.0°C (66.2°F),38.6mm | 1.52in,11.0kmh | 6.84mph,38.6mb
kisumu,September,2011,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),19.0°C (66.2°F),51.4mm | 2.02in,12.0kmh | 7.46mph,51.4mb
kisumu,October,2011,30.0°C (86.0°F),25.0°C (77.0°F),18.0°C (64.4°F),19.0°C (66.2°F),37.9mm | 1.49in,15.0kmh | 9.32mph,37.9mb
kisumu,November,2011,29.0°C (84.2°F),24.0°C (75.2°F),19.0°C (66.2°F),19.0°C (66.2°F),41.3mm | 1.63in,16.0kmh | 9.94mph,41.3mb
kisumu,December,2011,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),19.0°C (66.2°F),52.4mm | 2.06in,18.0kmh | 11.18mph,52.4mb
kitui,January,2010,25.0°C (77.0°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),21.5mm | 0.85in,17.0kmh | 10.56mph,21.5mb
kitui,February,2010,26.0°C (78.8°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),32.5mm | 1.28in,15.0kmh | 9.32mph,32.5mb
kitui,March,2010,24.0°C (75.2°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),78.3mm | 3.08in,16.0kmh | 9.94mph,78.3mb
kitui,April,2010,24.0°C (75.2°F),21.0°C (69.8°F),19.0°C (66.2°F),18.0°C (64.4°F),21.6mm | 0.85in,13.0kmh | 8.08mph,21.6mb
kitui,May,2010,23.0°C (73.4°F),20.0°C (68.0°F),18.0°C (64.4°F),18.0°C (64.4°F),33.7mm | 1.33in,13.0kmh | 8.08mph,33.7mb
kitui,June,2010,24.0°C (75.2°F),20.0°C (68.0°F),17.0°C (62.6°F),16.0°C (60.8°F),9.8mm | 0.39in,11.0kmh | 6.84mph,9.8mb
kitui,July,2010,24.0°C (75.2°F),20.0°C (68.0°F),17.0°C (62.6°F),14.0°C (57.2°F),7.7mm | 0.3in,13.0kmh | 8.08mph,7.7mb
kitui,August,2010,27.0°C (80.6°F),22.0°C (71.6°F),16.0°C (60.8°F),14.0°C (57.2°F),8.7mm | 0.34in,13.0kmh | 8.08mph,8.7mb
kitui,September,2010,26.0°C (78.8°F),22.0°C (71.6°F),18.0°C (64.4°F),16.0°C (60.8°F),2.9mm | 0.11in,16.0kmh | 9.94mph,2.9mb
kitui,October,2010,27.0°C (80.6°F),24.0°C (75.2°F),19.0°C (66.2°F),17.0°C (62.6°F),6.2mm | 0.24in,15.0kmh | 9.32mph,6.2mb
kitui,November,2010,24.0°C (75.2°F),22.0°C (71.6°F),19.0°C (66.2°F),18.0°C (64.4°F),19.8mm | 0.78in,14.0kmh | 8.7mph,19.8mb
kitui,December,2010,24.0°C (75.2°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),18.4mm | 0.72in,16.0kmh | 9.94mph,18.4mb
kitui,January,2011,27.0°C (80.6°F),23.0°C (73.4°F),18.0°C (64.4°F),16.0°C (60.8°F),11.2mm | 0.44in,18.0kmh | 11.18mph,11.2mb
kitui,February,2011,31.0°C (87.8°F),25.0°C (77.0°F),18.0°C (64.4°F),17.0°C (62.6°F),24.7mm | 0.97in,17.0kmh | 10.56mph,24.7mb
kitui,March,2011,28.0°C (82.4°F),23.0°C (73.4°F),19.0°C (66.2°F),18.0°C (64.4°F),23.8mm | 0.94in,16.0kmh | 9.94mph,23.8mb
kitui,April,2011,26.0°C (78.8°F),22.0°C (71.6°F),19.0°C (66.2°F),18.0°C (64.4°F),9.9mm | 0.39in,13.0kmh | 8.08mph,9.9mb
kitui,May,2011,24.0°C (75.2°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),15.3mm | 0.6in,15.0kmh | 9.32mph,15.3mb
kitui,June,2011,24.0°C (75.2°F),21.0°C (69.8°F),17.0°C (62.6°F),16.0°C (60.8°F),5.0mm | 0.2in,14.0kmh | 8.7mph,5.0mb
kitui,July,2011,25.0°C (77.0°F),20.0°C (68.0°F),17.0°C (62.6°F),16.0°C (60.8°F),20.6mm | 0.81in,15.0kmh | 9.32mph,20.6mb
kitui,August,2011,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),14.0°C (57.2°F),16.5mm | 0.65in,15.0kmh | 9.32mph,16.5mb
kitui,September,2011,27.0°C (80.6°F),23.0°C (73.4°F),19.0°C (66.2°F),16.0°C (60.8°F),3.8mm | 0.15in,18.0kmh | 11.18mph,3.8mb
kitui,October,2011,27.0°C (80.6°F),23.0°C (73.4°F),19.0°C (66.2°F),18.0°C (64.4°F),14.1mm | 0.56in,19.0kmh | 11.81mph,14.1mb
kitui,November,2011,26.0°C (78.8°F),23.0°C (73.4°F),19.0°C (66.2°F),18.0°C (64.4°F),30.3mm | 1.19in,18.0kmh | 11.18mph,30.3mb
kitui,December,2011,24.0°C (75.2°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),63.2mm | 2.49in,20.0kmh | 12.43mph,63.2mb
kwale,January,2010,33.0°C (91.4°F),29.0°C (84.2°F),26.0°C (78.8°F),24.0°C (75.2°F),41.1mm | 1.62in,28.0kmh | 17.4mph,41.1mb
kwale,February,2010,34.0°C (93.2°F),30.0°C (86.0°F),27.0°C (80.6°F),24.0°C (75.2°F),10.7mm | 0.42in,22.0kmh | 13.67mph,10.7mb
kwale,March,2010,33.0°C (91.4°F),30.0°C (86.0°F),27.0°C (80.6°F),25.0°C (77.0°F),19.8mm | 0.78in,21.0kmh | 13.05mph,19.8mb
kwale,April,2010,31.0°C (87.8°F),29.0°C (84.2°F),26.0°C (78.8°F),25.0°C (77.0°F),22.2mm | 0.87in,28.0kmh | 17.4mph,22.2mb
kwale,May,2010,31.0°C (87.8°F),29.0°C (84.2°F),26.0°C (78.8°F),24.0°C (75.2°F),15.0mm | 0.59in,35.0kmh | 21.75mph,15.0mb
kwale,June,2010,30.0°C (86.0°F),28.0°C (82.4°F),26.0°C (78.8°F),23.0°C (73.4°F),17.9mm | 0.7in,40.0kmh | 24.85mph,17.9mb
kwale,July,2010,29.0°C (84.2°F),26.0°C (78.8°F),24.0°C (75.2°F),22.0°C (71.6°F),20.4mm | 0.8in,42.0kmh | 26.1mph,20.4mb
kwale,August,2010,29.0°C (84.2°F),26.0°C (78.8°F),23.0°C (73.4°F),21.0°C (69.8°F),6.1mm | 0.24in,42.0kmh | 26.1mph,6.1mb
kwale,September,2010,29.0°C (84.2°F),26.0°C (78.8°F),23.0°C (73.4°F),21.0°C (69.8°F),4.4mm | 0.17in,31.0kmh | 19.26mph,4.4mb
kwale,October,2010,31.0°C (87.8°F),28.0°C (82.4°F),24.0°C (75.2°F),22.0°C (71.6°F),5.3mm | 0.21in,26.0kmh | 16.16mph,5.3mb
kwale,November,2010,31.0°C (87.8°F),28.0°C (82.4°F),25.0°C (77.0°F),23.0°C (73.4°F),7.4mm | 0.29in,20.0kmh | 12.43mph,7.4mb
kwale,December,2010,32.0°C (89.6°F),29.0°C (84.2°F),25.0°C (77.0°F),24.0°C (75.2°F),4.8mm | 0.19in,21.0kmh | 13.05mph,4.8mb
kwale,January,2011,33.0°C (91.4°F),29.0°C (84.2°F),26.0°C (78.8°F),24.0°C (75.2°F),14.2mm | 0.56in,29.0kmh | 18.02mph,14.2mb
kwale,February,2011,35.0°C (95.0°F),31.0°C (87.8°F),26.0°C (78.8°F),24.0°C (75.2°F),7.6mm | 0.3in,23.0kmh | 14.29mph,7.6mb
kwale,March,2011,34.0°C (93.2°F),30.0°C (86.0°F),26.0°C (78.8°F),24.0°C (75.2°F),18.8mm | 0.74in,23.0kmh | 14.29mph,18.8mb
kwale,April,2011,34.0°C (93.2°F),30.0°C (86.0°F),26.0°C (78.8°F),24.0°C (75.2°F),6.0mm | 0.24in,24.0kmh | 14.91mph,6.0mb
kwale,May,2011,31.0°C (87.8°F),29.0°C (84.2°F),25.0°C (77.0°F),22.0°C (71.6°F),6.7mm | 0.26in,35.0kmh | 21.75mph,6.7mb
kwale,June,2011,30.0°C (86.0°F),28.0°C (82.4°F),24.0°C (75.2°F),22.0°C (71.6°F),3.0mm | 0.12in,39.0kmh | 24.23mph,3.0mb
kwale,July,2011,29.0°C (84.2°F),27.0°C (80.6°F),23.0°C (73.4°F),21.0°C (69.8°F),3.8mm | 0.15in,48.0kmh | 29.83mph,3.8mb
kwale,August,2011,29.0°C (84.2°F),26.0°C (78.8°F),24.0°C (75.2°F),21.0°C (69.8°F),2.1mm | 0.08in,41.0kmh | 25.48mph,2.1mb
kwale,September,2011,30.0°C (86.0°F),27.0°C (80.6°F),24.0°C (75.2°F),22.0°C (71.6°F),8.7mm | 0.34in,34.0kmh | 21.13mph,8.7mb
kwale,October,2011,31.0°C (87.8°F),28.0°C (82.4°F),25.0°C (77.0°F),23.0°C (73.4°F),21.8mm | 0.86in,33.0kmh | 20.51mph,21.8mb
kwale,November,2011,32.0°C (89.6°F),29.0°C (84.2°F),25.0°C (77.0°F),24.0°C (75.2°F),13.6mm | 0.54in,26.0kmh | 16.16mph,13.6mb
kwale,December,2011,33.0°C (91.4°F),30.0°C (86.0°F),26.0°C (78.8°F),24.0°C (75.2°F),36.5mm | 1.44in,33.0kmh | 20.51mph,36.5mb
laikipia,January,2010,23.0°C (73.4°F),18.0°C (64.4°F),14.0°C (57.2°F),15.0°C (59.0°F),15.8mm | 0.62in,14.0kmh | 8.7mph,15.8mb
laikipia,February,2010,24.0°C (75.2°F),19.0°C (66.2°F),15.0°C (59.0°F),15.0°C (59.0°F),21.4mm | 0.84in,14.0kmh | 8.7mph,21.4mb
laikipia,March,2010,22.0°C (71.6°F),18.0°C (64.4°F),15.0°C (59.0°F),16.0°C (60.8°F),120.3mm | 4.74in,14.0kmh | 8.7mph,120.3mb
laikipia,April,2010,22.0°C (71.6°F),19.0°C (66.2°F),15.0°C (59.0°F),16.0°C (60.8°F),112.9mm | 4.44in,13.0kmh | 8.08mph,112.9mb
laikipia,May,2010,22.0°C (71.6°F),18.0°C (64.4°F),15.0°C (59.0°F),16.0°C (60.8°F),50.5mm | 1.99in,18.0kmh | 11.18mph,50.5mb
laikipia,June,2010,22.0°C (71.6°F),18.0°C (64.4°F),14.0°C (57.2°F),15.0°C (59.0°F),24.9mm | 0.98in,17.0kmh | 10.56mph,24.9mb
laikipia,July,2010,21.0°C (69.8°F),17.0°C (62.6°F),14.0°C (57.2°F),14.0°C (57.2°F),52.3mm | 2.06in,16.0kmh | 9.94mph,52.3mb
laikipia,August,2010,22.0°C (71.6°F),17.0°C (62.6°F),13.0°C (55.4°F),13.0°C (55.4°F),30.4mm | 1.2in,18.0kmh | 11.18mph,30.4mb
laikipia,September,2010,22.0°C (71.6°F),18.0°C (64.4°F),12.0°C (53.6°F),13.0°C (55.4°F),15.1mm | 0.59in,18.0kmh | 11.18mph,15.1mb
laikipia,October,2010,23.0°C (73.4°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),49.3mm | 1.94in,14.0kmh | 8.7mph,49.3mb
laikipia,November,2010,22.0°C (71.6°F),17.0°C (62.6°F),13.0°C (55.4°F),14.0°C (57.2°F),31.1mm | 1.22in,12.0kmh | 7.46mph,31.1mb
laikipia,December,2010,22.0°C (71.6°F),17.0°C (62.6°F),12.0°C (53.6°F),12.0°C (53.6°F),16.7mm | 0.66in,13.0kmh | 8.08mph,16.7mb
laikipia,January,2011,23.0°C (73.4°F),19.0°C (66.2°F),11.0°C (51.8°F),12.0°C (53.6°F),21.0mm | 0.83in,16.0kmh | 9.94mph,21.0mb
laikipia,February,2011,26.0°C (78.8°F),20.0°C (68.0°F),11.0°C (51.8°F),13.0°C (55.4°F),19.1mm | 0.75in,15.0kmh | 9.32mph,19.1mb
laikipia,March,2011,25.0°C (77.0°F),20.0°C (68.0°F),13.0°C (55.4°F),13.0°C (55.4°F),27.4mm | 1.08in,13.0kmh | 8.08mph,27.4mb
laikipia,April,2011,23.0°C (73.4°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),33.4mm | 1.31in,13.0kmh | 8.08mph,33.4mb
laikipia,May,2011,22.0°C (71.6°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),50.4mm | 1.98in,18.0kmh | 11.18mph,50.4mb
laikipia,June,2011,22.0°C (71.6°F),18.0°C (64.4°F),13.0°C (55.4°F),14.0°C (57.2°F),39.9mm | 1.57in,15.0kmh | 9.32mph,39.9mb
laikipia,July,2011,23.0°C (73.4°F),18.0°C (64.4°F),12.0°C (53.6°F),13.0°C (55.4°F),33.4mm | 1.31in,18.0kmh | 11.18mph,33.4mb
laikipia,August,2011,22.0°C (71.6°F),17.0°C (62.6°F),13.0°C (55.4°F),13.0°C (55.4°F),60.5mm | 2.38in,18.0kmh | 11.18mph,60.5mb
laikipia,September,2011,23.0°C (73.4°F),19.0°C (66.2°F),13.0°C (55.4°F),13.0°C (55.4°F),45.9mm | 1.81in,19.0kmh | 11.81mph,45.9mb
laikipia,October,2011,23.0°C (73.4°F),19.0°C (66.2°F),14.0°C (57.2°F),14.0°C (57.2°F),61.1mm | 2.41in,17.0kmh | 10.56mph,61.1mb
laikipia,November,2011,23.0°C (73.4°F),18.0°C (64.4°F),13.0°C (55.4°F),14.0°C (57.2°F),69.1mm | 2.72in,14.0kmh | 8.7mph,69.1mb
laikipia,December,2011,21.0°C (69.8°F),17.0°C (62.6°F),13.0°C (55.4°F),14.0°C (57.2°F),80.9mm | 3.19in,16.0kmh | 9.94mph,80.9mb
lamu,January,2010,32.0°C (89.6°F),30.0°C (86.0°F),27.0°C (80.6°F),24.0°C (75.2°F),4.8mm | 0.19in,37.0kmh | 22.99mph,4.8mb
lamu,February,2010,32.0°C (89.6°F),30.0°C (86.0°F),27.0°C (80.6°F),25.0°C (77.0°F),10.0mm | 0.39in,30.0kmh | 18.64mph,10.0mb
lamu,March,2010,32.0°C (89.6°F),30.0°C (86.0°F),28.0°C (82.4°F),25.0°C (77.0°F),10.4mm | 0.41in,29.0kmh | 18.02mph,10.4mb
lamu,April,2010,31.0°C (87.8°F),29.0°C (84.2°F),28.0°C (82.4°F),25.0°C (77.0°F),32.5mm | 1.28in,32.0kmh | 19.88mph,32.5mb
lamu,May,2010,30.0°C (86.0°F),29.0°C (84.2°F),27.0°C (80.6°F),25.0°C (77.0°F),60.1mm | 2.37in,42.0kmh | 26.1mph,60.1mb
lamu,June,2010,29.0°C (84.2°F),28.0°C (82.4°F),26.0°C (78.8°F),23.0°C (73.4°F),43.1mm | 1.7in,46.0kmh | 28.58mph,43.1mb
lamu,July,2010,28.0°C (82.4°F),27.0°C (80.6°F),25.0°C (77.0°F),22.0°C (71.6°F),22.4mm | 0.88in,52.0kmh | 32.31mph,22.4mb
lamu,August,2010,27.0°C (80.6°F),26.0°C (78.8°F),24.0°C (75.2°F),22.0°C (71.6°F),35.7mm | 1.41in,50.0kmh | 31.07mph,35.7mb
lamu,September,2010,28.0°C (82.4°F),27.0°C (80.6°F),25.0°C (77.0°F),22.0°C (71.6°F),10.0mm | 0.39in,41.0kmh | 25.48mph,10.0mb
lamu,October,2010,30.0°C (86.0°F),28.0°C (82.4°F),25.0°C (77.0°F),23.0°C (73.4°F),6.5mm | 0.26in,34.0kmh | 21.13mph,6.5mb
lamu,November,2010,30.0°C (86.0°F),28.0°C (82.4°F),26.0°C (78.8°F),23.0°C (73.4°F),19.4mm | 0.76in,24.0kmh | 14.91mph,19.4mb
lamu,December,2010,31.0°C (87.8°F),29.0°C (84.2°F),26.0°C (78.8°F),23.0°C (73.4°F),16.3mm | 0.64in,30.0kmh | 18.64mph,16.3mb
lamu,January,2011,32.0°C (89.6°F),29.0°C (84.2°F),26.0°C (78.8°F),23.0°C (73.4°F),4.6mm | 0.18in,38.0kmh | 23.61mph,4.6mb
lamu,February,2011,32.0°C (89.6°F),29.0°C (84.2°F),26.0°C (78.8°F),23.0°C (73.4°F),1.9mm | 0.07in,33.0kmh | 20.51mph,1.9mb
lamu,March,2011,31.0°C (87.8°F),29.0°C (84.2°F),27.0°C (80.6°F),24.0°C (75.2°F),12.1mm | 0.48in,30.0kmh | 18.64mph,12.1mb
lamu,April,2011,31.0°C (87.8°F),29.0°C (84.2°F),27.0°C (80.6°F),24.0°C (75.2°F),12.8mm | 0.5in,29.0kmh | 18.02mph,12.8mb
lamu,May,2011,30.0°C (86.0°F),29.0°C (84.2°F),27.0°C (80.6°F),23.0°C (73.4°F),38.2mm | 1.5in,44.0kmh | 27.34mph,38.2mb
lamu,June,2011,29.0°C (84.2°F),28.0°C (82.4°F),27.0°C (80.6°F),22.0°C (71.6°F),9.9mm | 0.39in,48.0kmh | 29.83mph,9.9mb
lamu,July,2011,29.0°C (84.2°F),27.0°C (80.6°F),26.0°C (78.8°F),22.0°C (71.6°F),17.1mm | 0.67in,56.0kmh | 34.8mph,17.1mb
lamu,August,2011,28.0°C (82.4°F),26.0°C (78.8°F),25.0°C (77.0°F),22.0°C (71.6°F),8.3mm | 0.33in,47.0kmh | 29.2mph,8.3mb
lamu,September,2011,29.0°C (84.2°F),27.0°C (80.6°F),25.0°C (77.0°F),23.0°C (73.4°F),19.3mm | 0.76in,42.0kmh | 26.1mph,19.3mb
lamu,October,2011,30.0°C (86.0°F),28.0°C (82.4°F),26.0°C (78.8°F),24.0°C (75.2°F),42.9mm | 1.69in,41.0kmh | 25.48mph,42.9mb
lamu,November,2011,30.0°C (86.0°F),28.0°C (82.4°F),26.0°C (78.8°F),24.0°C (75.2°F),43.8mm | 1.72in,29.0kmh | 18.02mph,43.8mb
lamu,December,2011,32.0°C (89.6°F),29.0°C (84.2°F),27.0°C (80.6°F),24.0°C (75.2°F),47.1mm | 1.85in,39.0kmh | 24.23mph,47.1mb
machakos,January,2010,25.0°C (77.0°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),21.5mm | 0.85in,17.0kmh | 10.56mph,21.5mb
machakos,February,2010,26.0°C (78.8°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),32.5mm | 1.28in,15.0kmh | 9.32mph,32.5mb
machakos,March,2010,24.0°C (75.2°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),78.3mm | 3.08in,16.0kmh | 9.94mph,78.3mb
machakos,April,2010,24.0°C (75.2°F),21.0°C (69.8°F),19.0°C (66.2°F),18.0°C (64.4°F),21.6mm | 0.85in,13.0kmh | 8.08mph,21.6mb
machakos,May,2010,23.0°C (73.4°F),20.0°C (68.0°F),18.0°C (64.4°F),18.0°C (64.4°F),33.7mm | 1.33in,13.0kmh | 8.08mph,33.7mb
machakos,June,2010,24.0°C (75.2°F),20.0°C (68.0°F),17.0°C (62.6°F),16.0°C (60.8°F),9.8mm | 0.39in,11.0kmh | 6.84mph,9.8mb
machakos,July,2010,24.0°C (75.2°F),20.0°C (68.0°F),17.0°C (62.6°F),14.0°C (57.2°F),7.7mm | 0.3in,13.0kmh | 8.08mph,7.7mb
machakos,August,2010,27.0°C (80.6°F),22.0°C (71.6°F),16.0°C (60.8°F),14.0°C (57.2°F),8.7mm | 0.34in,13.0kmh | 8.08mph,8.7mb
machakos,September,2010,26.0°C (78.8°F),22.0°C (71.6°F),18.0°C (64.4°F),16.0°C (60.8°F),2.9mm | 0.11in,16.0kmh | 9.94mph,2.9mb
machakos,October,2010,27.0°C (80.6°F),24.0°C (75.2°F),19.0°C (66.2°F),17.0°C (62.6°F),6.2mm | 0.24in,15.0kmh | 9.32mph,6.2mb
machakos,November,2010,24.0°C (75.2°F),22.0°C (71.6°F),19.0°C (66.2°F),18.0°C (64.4°F),19.8mm | 0.78in,14.0kmh | 8.7mph,19.8mb
